#,Time in Sec,Time in usec, Bytes sent,Sender latitude,Sender longitude, Sender Speed(km/h),Sender Altitude(m), Receiver latitude, Receiver Longitude, Receiver Speed,Receiver Altitude(m), Packet Received (Y/N), Bytes Received, Signal Strength, Noise Strength
3085,1109190628,502611,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3086,1109190628,502615,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3087,1109190628,502619,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3088,1109190628,502623,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3089,1109190628,502627,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3090,1109190628,502631,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3091,1109190628,502635,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3092,1109190628,502638,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3093,1109190628,502642,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3094,1109190628,502646,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3095,1109190628,502650,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3096,1109190628,502655,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3097,1109190628,502659,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3098,1109190628,502663,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3099,1109190628,502667,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3100,1109190628,502671,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3101,1109190628,502675,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3102,1109190628,502679,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3103,1109190628,502683,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3104,1109190628,502687,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3105,1109190628,502691,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3106,1109190628,502695,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3107,1109190628,502700,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3108,1109190628,725871,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3109,1109190628,725876,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3110,1109190628,725880,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3111,1109190628,725894,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3112,1109190628,725898,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3113,1109190628,725902,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3114,1109190628,725906,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3115,1109190628,725909,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3116,1109190628,725913,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3117,1109190628,725917,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3118,1109190628,725921,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3119,1109190628,725925,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3120,1109190628,725929,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3121,1109190628,725933,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3122,1109190628,725937,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3123,1109190628,725941,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3124,1109190628,725945,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3125,1109190628,725949,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3126,1109190628,725953,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3127,1109190628,725957,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3128,1109190628,725961,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3129,1109190628,725966,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3130,1109190628,725970,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3131,1109190628,725975,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3132,1109190628,725979,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3133,1109190628,725983,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3134,1109190628,725987,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
3135,1109190628,725991,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
